data,data_more_info,nome,genero,endereco-arrumado,lat,long,tombado,link,iphan,fonte,tipo,materia,condeph,conpres,autor,endereco-original
1998,1998,Cinquenta Anos do Estado de Israel,não figurativo,Praça Cinquentenário de Israel,-23.54952,-46.66203,N,não consta,não consta,DPH/SMC,Escultura Abstrata,ferro,não consta,não consta,"KNISPEL, Gershon",Praça Cinqüentenário de Israel
1988,1988,Memorial Cláudio Abramo,homem,Praça Cláudio Abramo,-23.57611,-46.68156,N,não consta,não consta,DPH/SMC,Escultura Abstrata,granito,não consta,não consta,desconhecido,Praça Cláudio Abramo
2007,2007,O Jornaleiro,homem,Praça Cláudio Abramo,-23.57611,-46.68156,N,não consta,não consta,DPH/SMC,Escultura Figurativa,bronze e granito,não consta,não consta,"CALABRONE, Domenico",Praça Cláudio Abramo
1966,1966,Monumento ao Milênio da Polônia Cristă,não figurativo,Praça Cmte. Renato Pacheco Pedroso,-23.57391,-46.6813,N,não consta,não consta,DPH/SMC,Marco,mármore e granito,não consta,não consta,"REIF, Victor; SZABUNIEWICZ,  Miroslaw; GRABOWSKI, Mieqyslaw",Praça Comandante Renato Pacheco Pedroso
1989,1989,Comendador Nicolau Scarpa,homem,Praça Comendador Nicolau Scarpa,-23.570347,-46.664604,N,não consta,não consta,DPH/SMC,Herma,bronze e granito,não consta,não consta,"ROSADA, Vilmo",Praça Comendador Nicolau Scarpa
1996,ca. 1996,Praça Comunidade da Villa de Arouca,não figurativo,Praça Comunidade da Vila de Arouca,-23.61381,-46.71417,N,não consta,não consta,DPH/SMC,Marco,azulejos alvenaria e aço escovado,não consta,não consta,desconhecido,Praça Comunidade da Villa de Arouca
1975,1975,Marechal do Ar Alberto Santos Dumont,homem,Praça Comunidade Eduardo de Oliveira,-23.47743,-46.56469,N,não consta,não consta,DPH/SMC,Cabeça,bronze e granilite,não consta,não consta,"MORRONE, Luiz",Praça Comandante Eduardo de Oliveira
1957,1957,Sagrado Coraçăo de Maria,mulher,Praça Coração de Maria,-23.5808,-46.67907,N,não consta,não consta,DPH/SMC,Estátua,argamassa armada granito e mármore,não consta,não consta,desconhecido,Praça Coraçăo de Maria
1978,1978,Crucifixo,não figurativo,Praça Cornélia,-23.52498,-46.6903,N,não consta,não consta,DPH/SMC,Crucifixo,bronze e granito,não consta,não consta,desconhecido,Praça Cornélia
1990,1990,Monsenhor Luiz Gonzaga de Moura,homem,Praça Cornélia,-23.52498,-46.6903,N,não consta,não consta,DPH/SMC,Herma,argamassa fulget e mármore,não consta,não consta,"ROTONDARO, Rafael",Praça Cornélia
1965,1965,Brigadeiro Rafael Tobias de Aguiar,homem,Praça Coronel Fernando Prestes,-23.53028,-46.63325,N,não consta,não consta,DPH/SMC,Estátua (MONUMENTO),bronze e granito,não consta,não consta,"MORRONE, Luiz",Praça Coronel Fernando Prestes
1900,19--,Aurora,mulher,Praça Coronel Lisboa,-23.64291,-46.69675,N,não consta,não consta,DPH/SMC,Estátua,ferro fundido e concreto,não consta,não consta,"MOREAU, Mathurin",Praça Coronel Lisboa
2001,2001,Família,ambos,Praça da Familia,-23.58335,-46.75119,N,não consta,não consta,DPH/SMC,Totem  (ESCULTURA),pedra sabăo e concreto,não consta,não consta,"BARRETO, Eduardo",Praça da Família
1976,1976,Governador Abreu Sodré,homem,Praça da Liberdade,-23.5555,-46.63561,N,não consta,não consta,DPH/SMC,Cabeça estela,bronze e concreto,não consta,não consta,"CALABRONE, Domenico",Praça da Liberdade
1995,1995,Tsuyoshi Mizumoto,homem,Praça da Liberdade,-23.5555,-46.63561,N,não consta,não consta,DPH/SMC,Cabeça,bronze e concreto,não consta,não consta,"MOTTA, Christina",Praça da Liberdade
1936,,Amizade Entre Os Povos,não figurativo,Praça da República,-23.54292,-46.64341,N,não consta,não consta,DPH/SMC,Marco,bronze e granito,não consta,não consta,desconhecido,Praça da República (interior da EMEI Armando de Arruda Pereira)
